Office,Location,Address Line 1,Address Line 2,City,State,Zipcode,Lat,Lng,FloorplanURL,EmergencyPlanURL
LJA Engineering,ALIC,1220 North Texas Blvd,Suite 4,Alice,TX,78332,27.761802,-98.064354,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQCpcVpirpFaSa9ixlF5zSz9AVLrXaNw8snvVhBF9e8Y6xo?e=gZ3cUc,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Alice,%20TX_(ALIC)_1220NorthTexasBlvd_EmergencyPlan.pdf?csf=1&web=1&e=tw7obm"
LJA Engineering,ALPH,299 South Main St,Suite A,Alpharetta,GA,30009,34.0527000427246,-84.3030853271484,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQAe45xQGzGXQYAZvexrmTKKAWWHz99lzJh2OK3DcSgTGTY?e=MUQdLn,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/Alpharetta,%20GA_(ALPH)_299SouthMainSt_EmergencyPlan.pdf?csf=1&web=1&e=fhpz2A"
LJA Engineering,ALTA,220 E Central Pkwy,Suite 1010,Altamonte Springs,FL,32701,28.66921616,-81.38252258,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQCytkH6tWYnQq-hC14TbYP5AapQqyLyd1kV9K6tiJrvFZE?e=TSoFNk,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_AltamonteSprings,%20FL_(ALTA)_220E.CentralParkway_EmergencyPlan.pdf?csf=1&web=1&e=hSs9Jv"
LJA Engineering,ARLI,1905 Ascension Blvd,Suite 120,Arlington,TX,76006,32.77236557,-97.08263397,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQDaM5EbVGQFS5xmiRWmnowgAf8fog_4XHdMna0cOyZ8mxk?e=DBV7Yq,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/TBD_Arlington,%20TX_(ARLI)_1905AscensionBlvd_EmergencyPlan.pdf?csf=1&web=1&e=dfxBuB"
LJA Engineering,ATLA,3455 Peachtree Dr NE,Suite 500,Atlanta,GA,30326,33.84061813,-84.36342621,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQARpDc10jEnT7waAt1r1gyZASWCnoRJRQBDYfHuasxuc6k?e=6wX4lq,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/TBD_Atlanta,%20GA_(ATLA)_3455PeachtreeRd_EmergencyPlan.pdf?csf=1&web=1&e=pqQjjJ"
Quest Utility Construction,AUS6,1405 S FM Road 973,,Austin,TX,,X,X,X,X
LJA Engineering,AUS7,3711 S Mopac Expressway,"Building II, Suite 500",Austin,TX,78746,30.23542,-97.77015,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQAfW_wGOtitQKbw2KSCa4adAT8FjV4Ga1rt50FpaQQvgjY?e=ntA50R,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Austin,%20TX_(AUS7)_3711SMopacExpy_EmergencyPlan.pdf?csf=1&web=1&e=DIpdwN"
G&R Surveying,AUS8,1805 Ouida Dr,,Austin,TX,,X,X,X,X
CD&P,AUS9,2233 West North Loop Blvd,,Austin,TX,78756,30.32515481,-97.74229898,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Austin,%20TX_(AUS9)_2233WestNorthLoopBlvd.pdf?csf=1&web=1&e=PK6l8P","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Austin,%20TX_(AUS9)_2233WestNorthLoopBlvd_EmergencyPlan.pdf?csf=1&web=1&e=M1ccM8"
LJA Engineering,AUSR,7500 Rialto Blvd,"Building II, Suite 100",Austin,TX,78735,30.252861,-97.870509,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQD8r0Y95G-fSa-zFjzpLwg0AU6xIKENIZ9cT9V7sx7V9mE?e=DUBuSD,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Austin,%20TX_(AUSR)_7500RialtoBlvd_EmergencyPlan.pdf?csf=1&web=1&e=LlCP0w"
